tanggal,kecamatan,tps_id,area_type,volume_ton,tahun,bulan,kuartal,area_enc,kecamatan_enc,tps_id_enc,vol_lag1,vol_lag3,vol_ma3
2018-08-01,Andir,TPS_ANDI_1,metropolitan,496.73,2018,8,3,2,0,0,517.97,655.84,541.13
2018-09-01,Andir,TPS_ANDI_1,metropolitan,450.31,2018,9,3,2,0,0,496.73,608.69,488.33666666666664
2018-10-01,Andir,TPS_ANDI_1,metropolitan,546.72,2018,10,4,2,0,0,450.31,517.97,497.92
2018-11-01,Andir,TPS_ANDI_1,metropolitan,499.6,2018,11,4,2,0,0,546.72,496.73,498.8766666666667
2018-12-01,Andir,TPS_ANDI_1,metropolitan,641.4,2018,12,4,2,0,0,499.6,450.31,562.5733333333334
2019-01-01,Andir,TPS_ANDI_1,metropolitan,675.6,2019,1,1,2,0,0,641.4,546.72,605.5333333333333
2019-02-01,Andir,TPS_ANDI_1,metropolitan,697.62,2019,2,1,2,0,0,675.6,499.6,671.5400000000001
2019-03-01,Andir,TPS_ANDI_1,metropolitan,695.72,2019,3,1,2,0,0,697.62,641.4,689.6466666666666
2019-04-01,Andir,TPS_ANDI_1,metropolitan,637.55,2019,4,2,2,0,0,695.72,675.6,676.9633333333334
2019-05-01,Andir,TPS_ANDI_1,metropolitan,679.17,2019,5,2,2,0,0,637.55,697.62,670.8133333333334
2019-06-01,Andir,TPS_ANDI_1,metropolitan,528.26,2019,6,2,2,0,0,679.17,695.72,614.9933333333333
2019-07-01,Andir,TPS_ANDI_1,metropolitan,623.42,2019,7,3,2,0,0,528.26,637.55,610.2833333333333
2019-08-01,Andir,TPS_ANDI_1,metropolitan,561.3,2019,8,3,2,0,0,623.42,679.17,570.9933333333332
2019-09-01,Andir,TPS_ANDI_1,metropolitan,458.22,2019,9,3,2,0,0,561.3,528.26,547.6466666666666
2019-10-01,Andir,TPS_ANDI_1,metropolitan,565.71,2019,10,4,2,0,0,458.22,623.42,528.41
2019-11-01,Andir,TPS_ANDI_1,metropolitan,542.64,2019,11,4,2,0,0,565.71,561.3,522.19
2019-12-01,Andir,TPS_ANDI_1,metropolitan,506.08,2019,12,4,2,0,0,542.64,458.22,538.1433333333333
2020-01-01,Andir,TPS_ANDI_1,metropolitan,588.15,2020,1,1,2,0,0,506.08,565.71,545.6233333333333
2020-02-01,Andir,TPS_ANDI_1,metropolitan,638.79,2020,2,1,2,0,0,588.15,542.64,577.6733333333333
2020-03-01,Andir,TPS_ANDI_1,metropolitan,560.98,2020,3,1,2,0,0,638.79,506.08,595.9733333333332
2020-04-01,Andir,TPS_ANDI_1,metropolitan,654.91,2020,4,2,2,0,0,560.98,588.15,618.2266666666666
2020-05-01,Andir,TPS_ANDI_1,metropolitan,550.72,2020,5,2,2,0,0,654.91,638.79,588.87
2020-06-01,Andir,TPS_ANDI_1,metropolitan,557.33,2020,6,2,2,0,0,550.72,560.98,587.6533333333333
2020-07-01,Andir,TPS_ANDI_1,metropolitan,647.89,2020,7,3,2,0,0,557.33,654.91,585.3133333333334
2020-08-01,Andir,TPS_ANDI_1,metropolitan,469.46,2020,8,3,2,0,0,647.89,550.72,558.2266666666666
2020-09-01,Andir,TPS_ANDI_1,metropolitan,545.24,2020,9,3,2,0,0,469.46,557.33,554.1966666666666
2020-10-01,Andir,TPS_ANDI_1,metropolitan,517.66,2020,10,4,2,0,0,545.24,647.89,510.78666666666663
2020-11-01,Andir,TPS_ANDI_1,metropolitan,489.23,2020,11,4,2,0,0,517.66,469.46,517.3766666666667
2020-12-01,Andir,TPS_ANDI_1,metropolitan,572.43,2020,12,4,2,0,0,489.23,545.24,526.4399999999999
2021-01-01,Andir,TPS_ANDI_1,metropolitan,539.72,2021,1,1,2,0,0,572.43,517.66,533.7933333333334
2021-02-01,Andir,TPS_ANDI_1,metropolitan,646.23,2021,2,1,2,0,0,539.72,489.23,586.1266666666667
2021-03-01,Andir,TPS_ANDI_1,metropolitan,628.86,2021,3,1,2,0,0,646.23,572.43,604.9366666666666
2021-04-01,Andir,TPS_ANDI_1,metropolitan,627.03,2021,4,2,2,0,0,628.86,539.72,634.04
2021-05-01,Andir,TPS_ANDI_1,metropolitan,582.03,2021,5,2,2,0,0,627.03,646.23,612.64
2021-06-01,Andir,TPS_ANDI_1,metropolitan,585.68,2021,6,2,2,0,0,582.03,628.86,598.2466666666666
2021-07-01,Andir,TPS_ANDI_1,metropolitan,538.61,2021,7,3,2,0,0,585.68,627.03,568.7733333333332
2021-08-01,Andir,TPS_ANDI_1,metropolitan,616.59,2021,8,3,2,0,0,538.61,582.03,580.2933333333334
2021-09-01,Andir,TPS_ANDI_1,metropolitan,505.65,2021,9,3,2,0,0,616.59,585.68,553.6166666666667
2021-10-01,Andir,TPS_ANDI_1,metropolitan,482.44,2021,10,4,2,0,0,505.65,538.61,534.8933333333333
2021-11-01,Andir,TPS_ANDI_1,metropolitan,511.79,2021,11,4,2,0,0,482.44,616.59,499.96
2021-12-01,Andir,TPS_ANDI_1,metropolitan,515.6,2021,12,4,2,0,0,511.79,505.65,503.27666666666664
2022-01-01,Andir,TPS_ANDI_1,metropolitan,610.21,2022,1,1,2,0,0,515.6,482.44,545.8666666666667
2022-02-01,Andir,TPS_ANDI_1,metropolitan,747.38,2022,2,1,2,0,0,610.21,511.79,624.3966666666666
2022-03-01,Andir,TPS_ANDI_1,metropolitan,676.22,2022,3,1,2,0,0,747.38,515.6,677.9366666666666
2022-04-01,Andir,TPS_ANDI_1,metropolitan,590.05,2022,4,2,2,0,0,676.22,610.21,671.2166666666667
2022-05-01,Andir,TPS_ANDI_1,metropolitan,610.93,2022,5,2,2,0,0,590.05,747.38,625.7333333333332
2022-06-01,Andir,TPS_ANDI_1,metropolitan,628.48,2022,6,2,2,0,0,610.93,676.22,609.8199999999999
2022-07-01,Andir,TPS_ANDI_1,metropolitan,510.69,2022,7,3,2,0,0,628.48,590.05,583.3666666666667
2022-08-01,Andir,TPS_ANDI_1,metropolitan,641.62,2022,8,3,2,0,0,510.69,610.93,593.5966666666667
2022-09-01,Andir,TPS_ANDI_1,metropolitan,521.23,2022,9,3,2,0,0,641.62,628.48,557.8466666666667
2022-10-01,Andir,TPS_ANDI_1,metropolitan,576.71,2022,10,4,2,0,0,521.23,510.69,579.8533333333334
2022-11-01,Andir,TPS_ANDI_1,metropolitan,623.07,2022,11,4,2,0,0,576.71,641.62,573.67
2022-12-01,Andir,TPS_ANDI_1,metropolitan,667.46,2022,12,4,2,0,0,623.07,521.23,622.4133333333333
2023-01-01,Andir,TPS_ANDI_1,metropolitan,607.21,2023,1,1,2,0,0,667.46,576.71,632.5799999999999
2023-02-01,Andir,TPS_ANDI_1,metropolitan,662.52,2023,2,1,2,0,0,607.21,623.07,645.7299999999999
2023-03-01,Andir,TPS_ANDI_1,metropolitan,743.22,2023,3,1,2,0,0,662.52,667.46,670.9833333333332
2023-04-01,Andir,TPS_ANDI_1,metropolitan,734.33,2023,4,2,2,0,0,743.22,607.21,713.3566666666666
2023-05-01,Andir,TPS_ANDI_1,metropolitan,600.75,2023,5,2,2,0,0,734.33,662.52,692.7666666666665
2023-06-01,Andir,TPS_ANDI_1,metropolitan,706.95,2023,6,2,2,0,0,600.75,743.22,680.6766666666666
2023-07-01,Andir,TPS_ANDI_1,metropolitan,623.15,2023,7,3,2,0,0,706.95,734.33,643.6166666666667
2023-08-01,Andir,TPS_ANDI_1,metropolitan,565.96,2023,8,3,2,0,0,623.15,600.75,632.02
2023-09-01,Andir,TPS_ANDI_1,metropolitan,587.46,2023,9,3,2,0,0,565.96,706.95,592.1899999999999
2023-10-01,Andir,TPS_ANDI_1,metropolitan,619.52,2023,10,4,2,0,0,587.46,623.15,590.9799999999999
2023-11-01,Andir,TPS_ANDI_1,metropolitan,614.02,2023,11,4,2,0,0,619.52,565.96,606.9999999999999
2023-12-01,Andir,TPS_ANDI_1,metropolitan,626.51,2023,12,4,2,0,0,614.02,587.46,620.0166666666665
2024-01-01,Andir,TPS_ANDI_1,metropolitan,578.18,2024,1,1,2,0,0,626.51,619.52,606.2366666666666
2024-02-01,Andir,TPS_ANDI_1,metropolitan,751.21,2024,2,1,2,0,0,578.18,614.02,651.9666666666666
2024-03-01,Andir,TPS_ANDI_1,metropolitan,706.03,2024,3,1,2,0,0,751.21,626.51,678.4733333333332
2024-04-01,Andir,TPS_ANDI_1,metropolitan,640.88,2024,4,2,2,0,0,706.03,578.18,699.3733333333333
2024-05-01,Andir,TPS_ANDI_1,metropolitan,608.07,2024,5,2,2,0,0,640.88,751.21,651.66
2024-06-01,Andir,TPS_ANDI_1,metropolitan,696.83,2024,6,2,2,0,0,608.07,706.03,648.5933333333332
2024-07-01,Andir,TPS_ANDI_1,metropolitan,575.24,2024,7,3,2,0,0,696.83,640.88,626.7133333333333
2024-08-01,Andir,TPS_ANDI_1,metropolitan,623.46,2024,8,3,2,0,0,575.24,608.07,631.8433333333332
2024-09-01,Andir,TPS_ANDI_1,metropolitan,576.42,2024,9,3,2,0,0,623.46,696.83,591.7066666666666
2024-10-01,Andir,TPS_ANDI_1,metropolitan,641.2,2024,10,4,2,0,0,576.42,575.24,613.6933333333333
2024-11-01,Andir,TPS_ANDI_1,metropolitan,599.37,2024,11,4,2,0,0,641.2,623.46,605.6633333333333
2024-12-01,Andir,TPS_ANDI_1,metropolitan,680.12,2024,12,4,2,0,0,599.37,576.42,640.2299999999999
2025-01-01,Andir,TPS_ANDI_1,metropolitan,651.65,2025,1,1,2,0,0,680.12,641.2,643.7133333333333
2025-02-01,Andir,TPS_ANDI_1,metropolitan,641.95,2025,2,1,2,0,0,651.65,599.37,657.9066666666666
2025-03-01,Andir,TPS_ANDI_1,metropolitan,683.75,2025,3,1,2,0,0,641.95,680.12,659.1166666666667
2025-04-01,Andir,TPS_ANDI_1,metropolitan,641.54,2025,4,2,2,0,0,683.75,651.65,655.7466666666666
2025-05-01,Andir,TPS_ANDI_1,metropolitan,546.72,2025,5,2,2,0,0,641.54,641.95,624.0033333333332
2025-06-01,Andir,TPS_ANDI_1,metropolitan,586.85,2025,6,2,2,0,0,546.72,683.75,591.7033333333333
2025-07-01,Andir,TPS_ANDI_1,metropolitan,612.0,2025,7,3,2,0,0,586.85,641.54,581.8566666666666
2025-08-01,Andir,TPS_ANDI_1,metropolitan,611.57,2025,8,3,2,0,0,612.0,546.72,603.4733333333334
2025-09-01,Andir,TPS_ANDI_1,metropolitan,579.31,2025,9,3,2,0,0,611.57,586.85,600.9599999999999
2025-10-01,Andir,TPS_ANDI_1,metropolitan,503.58,2025,10,4,2,0,0,579.31,612.0,564.8199999999999
2025-11-01,Andir,TPS_ANDI_1,metropolitan,599.76,2025,11,4,2,0,0,503.58,611.57,560.8833333333333
2025-12-01,Andir,TPS_ANDI_1,metropolitan,606.36,2025,12,4,2,0,0,599.76,579.31,569.9
2026-01-01,Andir,TPS_ANDI_1,metropolitan,569.32,2026,1,1,2,0,0,606.36,503.58,591.8133333333333
2026-02-01,Andir,TPS_ANDI_1,metropolitan,544.67,2026,2,1,2,0,0,569.32,599.76,573.4499999999999
2026-03-01,Andir,TPS_ANDI_1,metropolitan,650.3,2026,3,1,2,0,0,544.67,606.36,588.0966666666665
2026-04-01,Andir,TPS_ANDI_1,metropolitan,598.5,2026,4,2,2,0,0,650.3,569.32,597.8233333333333
2026-05-01,Andir,TPS_ANDI_1,metropolitan,653.91,2026,5,2,2,0,0,598.5,544.67,634.2366666666666
2017-04-01,Andir,TPS_ANDI_2,metropolitan,576.08,2017,4,2,2,0,1,510.37,607.56,530.1933333333333
2017-05-01,Andir,TPS_ANDI_2,metropolitan,588.29,2017,5,2,2,0,1,576.08,504.13,558.2466666666666
2017-06-01,Andir,TPS_ANDI_2,metropolitan,531.33,2017,6,2,2,0,1,588.29,510.37,565.2333333333333
2017-07-01,Andir,TPS_ANDI_2,metropolitan,451.43,2017,7,3,2,0,1,531.33,576.08,523.6833333333333
2017-08-01,Andir,TPS_ANDI_2,metropolitan,532.78,2017,8,3,2,0,1,451.43,588.29,505.18
2017-09-01,Andir,TPS_ANDI_2,metropolitan,430.46,2017,9,3,2,0,1,532.78,531.33,471.5566666666667
2017-10-01,Andir,TPS_ANDI_2,metropolitan,506.19,2017,10,4,2,0,1,430.46,451.43,489.80999999999995
2017-11-01,Andir,TPS_ANDI_2,metropolitan,456.18,2017,11,4,2,0,1,506.19,532.78,464.27666666666664
2017-12-01,Andir,TPS_ANDI_2,metropolitan,457.69,2017,12,4,2,0,1,456.18,430.46,473.3533333333333
2018-01-01,Andir,TPS_ANDI_2,metropolitan,629.6,2018,1,1,2,0,1,457.69,506.19,514.49
2018-02-01,Andir,TPS_ANDI_2,metropolitan,576.28,2018,2,1,2,0,1,629.6,456.18,554.5233333333333
2018-03-01,Andir,TPS_ANDI_2,metropolitan,693.1,2018,3,1,2,0,1,576.28,457.69,632.9933333333333
2018-04-01,Andir,TPS_ANDI_2,metropolitan,593.52,2018,4,2,2,0,1,693.1,629.6,620.9666666666667
2018-05-01,Andir,TPS_ANDI_2,metropolitan,590.14,2018,5,2,2,0,1,593.52,576.28,625.5866666666667
2018-06-01,Andir,TPS_ANDI_2,metropolitan,602.93,2018,6,2,2,0,1,590.14,693.1,595.5299999999999
2018-07-01,Andir,TPS_ANDI_2,metropolitan,488.44,2018,7,3,2,0,1,602.93,593.52,560.5033333333332
2018-08-01,Andir,TPS_ANDI_2,metropolitan,538.96,2018,8,3,2,0,1,488.44,590.14,543.4433333333333
2018-09-01,Andir,TPS_ANDI_2,metropolitan,508.05,2018,9,3,2,0,1,538.96,602.93,511.81666666666666
2018-10-01,Andir,TPS_ANDI_2,metropolitan,487.05,2018,10,4,2,0,1,508.05,488.44,511.3533333333333
2018-11-01,Andir,TPS_ANDI_2,metropolitan,569.91,2018,11,4,2,0,1,487.05,538.96,521.67
2018-12-01,Andir,TPS_ANDI_2,metropolitan,508.4,2018,12,4,2,0,1,569.91,508.05,521.7866666666667
2019-01-01,Andir,TPS_ANDI_2,metropolitan,590.81,2019,1,1,2,0,1,508.4,487.05,556.3733333333333
2019-02-01,Andir,TPS_ANDI_2,metropolitan,675.98,2019,2,1,2,0,1,590.81,569.91,591.73
2019-03-01,Andir,TPS_ANDI_2,metropolitan,690.63,2019,3,1,2,0,1,675.98,508.4,652.4733333333332
2019-04-01,Andir,TPS_ANDI_2,metropolitan,651.87,2019,4,2,2,0,1,690.63,590.81,672.8266666666667
2019-05-01,Andir,TPS_ANDI_2,metropolitan,677.19,2019,5,2,2,0,1,651.87,675.98,673.23
2019-06-01,Andir,TPS_ANDI_2,metropolitan,643.89,2019,6,2,2,0,1,677.19,690.63,657.65
2019-07-01,Andir,TPS_ANDI_2,metropolitan,512.56,2019,7,3,2,0,1,643.89,651.87,611.2133333333333
2019-08-01,Andir,TPS_ANDI_2,metropolitan,516.94,2019,8,3,2,0,1,512.56,677.19,557.7966666666666
2019-09-01,Andir,TPS_ANDI_2,metropolitan,605.29,2019,9,3,2,0,1,516.94,643.89,544.93
2019-10-01,Andir,TPS_ANDI_2,metropolitan,574.81,2019,10,4,2,0,1,605.29,512.56,565.68
2019-11-01,Andir,TPS_ANDI_2,metropolitan,504.53,2019,11,4,2,0,1,574.81,516.94,561.5433333333333
2019-12-01,Andir,TPS_ANDI_2,metropolitan,503.76,2019,12,4,2,0,1,504.53,605.29,527.6999999999999
2020-01-01,Andir,TPS_ANDI_2,metropolitan,672.59,2020,1,1,2,0,1,503.76,574.81,560.2933333333334
2020-02-01,Andir,TPS_ANDI_2,metropolitan,706.98,2020,2,1,2,0,1,672.59,504.53,627.7766666666666
2020-03-01,Andir,TPS_ANDI_2,metropolitan,713.17,2020,3,1,2,0,1,706.98,503.76,697.5799999999999
2020-04-01,Andir,TPS_ANDI_2,metropolitan,571.74,2020,4,2,2,0,1,713.17,672.59,663.9633333333333
2020-05-01,Andir,TPS_ANDI_2,metropolitan,569.83,2020,5,2,2,0,1,571.74,706.98,618.2466666666666
2020-06-01,Andir,TPS_ANDI_2,metropolitan,512.49,2020,6,2,2,0,1,569.83,713.17,551.3533333333334
2020-07-01,Andir,TPS_ANDI_2,metropolitan,505.74,2020,7,3,2,0,1,512.49,571.74,529.3533333333334
2020-08-01,Andir,TPS_ANDI_2,metropolitan,626.92,2020,8,3,2,0,1,505.74,569.83,548.3833333333333
2020-09-01,Andir,TPS_ANDI_2,metropolitan,489.62,2020,9,3,2,0,1,626.92,512.49,540.76
2020-10-01,Andir,TPS_ANDI_2,metropolitan,627.0,2020,10,4,2,0,1,489.62,505.74,581.18
2020-11-01,Andir,TPS_ANDI_2,metropolitan,601.81,2020,11,4,2,0,1,627.0,626.92,572.81
2020-12-01,Andir,TPS_ANDI_2,metropolitan,658.51,2020,12,4,2,0,1,601.81,489.62,629.1066666666667
2021-01-01,Andir,TPS_ANDI_2,metropolitan,667.12,2021,1,1,2,0,1,658.51,627.0,642.48
2021-02-01,Andir,TPS_ANDI_2,metropolitan,546.32,2021,2,1,2,0,1,667.12,601.81,623.9833333333333
2021-03-01,Andir,TPS_ANDI_2,metropolitan,585.46,2021,3,1,2,0,1,546.32,658.51,599.6333333333333
2021-04-01,Andir,TPS_ANDI_2,metropolitan,578.52,2021,4,2,2,0,1,585.46,667.12,570.1
2021-05-01,Andir,TPS_ANDI_2,metropolitan,613.3,2021,5,2,2,0,1,578.52,546.32,592.4266666666666
2021-06-01,Andir,TPS_ANDI_2,metropolitan,523.11,2021,6,2,2,0,1,613.3,585.46,571.6433333333333
2021-07-01,Andir,TPS_ANDI_2,metropolitan,529.05,2021,7,3,2,0,1,523.11,578.52,555.1533333333333
2021-08-01,Andir,TPS_ANDI_2,metropolitan,513.77,2021,8,3,2,0,1,529.05,613.3,521.9766666666666
2021-09-01,Andir,TPS_ANDI_2,metropolitan,604.87,2021,9,3,2,0,1,513.77,523.11,549.2299999999999
2021-10-01,Andir,TPS_ANDI_2,metropolitan,479.85,2021,10,4,2,0,1,604.87,529.05,532.8299999999999
2021-11-01,Andir,TPS_ANDI_2,metropolitan,488.84,2021,11,4,2,0,1,479.85,513.77,524.52
2021-12-01,Andir,TPS_ANDI_2,metropolitan,673.13,2021,12,4,2,0,1,488.84,604.87,547.2733333333333
2022-01-01,Andir,TPS_ANDI_2,metropolitan,573.61,2022,1,1,2,0,1,673.13,479.85,578.5266666666666
2022-02-01,Andir,TPS_ANDI_2,metropolitan,617.87,2022,2,1,2,0,1,573.61,488.84,621.5366666666666
2022-03-01,Andir,TPS_ANDI_2,metropolitan,621.75,2022,3,1,2,0,1,617.87,673.13,604.41
2022-04-01,Andir,TPS_ANDI_2,metropolitan,671.36,2022,4,2,2,0,1,621.75,573.61,636.9933333333333
2022-05-01,Andir,TPS_ANDI_2,metropolitan,660.3,2022,5,2,2,0,1,671.36,617.87,651.1366666666667
2022-06-01,Andir,TPS_ANDI_2,metropolitan,616.02,2022,6,2,2,0,1,660.3,621.75,649.2266666666666
2022-07-01,Andir,TPS_ANDI_2,metropolitan,618.54,2022,7,3,2,0,1,616.02,671.36,631.6199999999999
2022-08-01,Andir,TPS_ANDI_2,metropolitan,534.09,2022,8,3,2,0,1,618.54,660.3,589.5500000000001
2022-09-01,Andir,TPS_ANDI_2,metropolitan,480.67,2022,9,3,2,0,1,534.09,616.02,544.4333333333334
2022-10-01,Andir,TPS_ANDI_2,metropolitan,604.5,2022,10,4,2,0,1,480.67,618.54,539.7533333333334
2022-11-01,Andir,TPS_ANDI_2,metropolitan,650.55,2022,11,4,2,0,1,604.5,534.09,578.5733333333333
2022-12-01,Andir,TPS_ANDI_2,metropolitan,550.09,2022,12,4,2,0,1,650.55,480.67,601.7133333333334
2023-01-01,Andir,TPS_ANDI_2,metropolitan,686.75,2023,1,1,2,0,1,550.09,604.5,629.13
2023-02-01,Andir,TPS_ANDI_2,metropolitan,726.02,2023,2,1,2,0,1,686.75,650.55,654.2866666666667
2023-03-01,Andir,TPS_ANDI_2,metropolitan,675.99,2023,3,1,2,0,1,726.02,550.09,696.2533333333334
2023-04-01,Andir,TPS_ANDI_2,metropolitan,751.81,2023,4,2,2,0,1,675.99,686.75,717.9399999999999
2023-05-01,Andir,TPS_ANDI_2,metropolitan,639.26,2023,5,2,2,0,1,751.81,726.02,689.02
2023-06-01,Andir,TPS_ANDI_2,metropolitan,642.27,2023,6,2,2,0,1,639.26,675.99,677.7800000000001
2023-07-01,Andir,TPS_ANDI_2,metropolitan,559.87,2023,7,3,2,0,1,642.27,751.81,613.8000000000001
2023-08-01,Andir,TPS_ANDI_2,metropolitan,620.04,2023,8,3,2,0,1,559.87,639.26,607.3933333333333
2023-09-01,Andir,TPS_ANDI_2,metropolitan,499.92,2023,9,3,2,0,1,620.04,642.27,559.9433333333333
2023-10-01,Andir,TPS_ANDI_2,metropolitan,512.55,2023,10,4,2,0,1,499.92,559.87,544.17
2023-11-01,Andir,TPS_ANDI_2,metropolitan,537.63,2023,11,4,2,0,1,512.55,620.04,516.6999999999999
2023-12-01,Andir,TPS_ANDI_2,metropolitan,587.64,2023,12,4,2,0,1,537.63,499.92,545.9399999999999
2024-01-01,Andir,TPS_ANDI_2,metropolitan,698.5,2024,1,1,2,0,1,587.64,512.55,607.9233333333333
2024-02-01,Andir,TPS_ANDI_2,metropolitan,747.69,2024,2,1,2,0,1,698.5,537.63,677.9433333333333
2024-03-01,Andir,TPS_ANDI_2,metropolitan,727.61,2024,3,1,2,0,1,747.69,587.64,724.6
2024-04-01,Andir,TPS_ANDI_2,metropolitan,735.75,2024,4,2,2,0,1,727.61,698.5,737.0166666666668
2024-05-01,Andir,TPS_ANDI_2,metropolitan,659.52,2024,5,2,2,0,1,735.75,747.69,707.6266666666667
2024-06-01,Andir,TPS_ANDI_2,metropolitan,686.36,2024,6,2,2,0,1,659.52,727.61,693.8766666666667
2024-07-01,Andir,TPS_ANDI_2,metropolitan,683.08,2024,7,3,2,0,1,686.36,735.75,676.32
2024-08-01,Andir,TPS_ANDI_2,metropolitan,549.19,2024,8,3,2,0,1,683.08,659.52,639.5433333333334
2024-09-01,Andir,TPS_ANDI_2,metropolitan,667.99,2024,9,3,2,0,1,549.19,686.36,633.4200000000001
2024-10-01,Andir,TPS_ANDI_2,metropolitan,661.62,2024,10,4,2,0,1,667.99,683.08,626.2666666666668
2024-11-01,Andir,TPS_ANDI_2,metropolitan,620.46,2024,11,4,2,0,1,661.62,549.19,650.0233333333334
2024-12-01,Andir,TPS_ANDI_2,metropolitan,691.62,2024,12,4,2,0,1,620.46,667.99,657.9
2025-01-01,Andir,TPS_ANDI_2,metropolitan,570.7,2025,1,1,2,0,1,691.62,661.62,627.5933333333334
2025-02-01,Andir,TPS_ANDI_2,metropolitan,603.42,2025,2,1,2,0,1,570.7,620.46,621.9133333333333
2025-03-01,Andir,TPS_ANDI_2,metropolitan,729.06,2025,3,1,2,0,1,603.42,691.62,634.3933333333333
2025-04-01,Andir,TPS_ANDI_2,metropolitan,581.38,2025,4,2,2,0,1,729.06,570.7,637.9533333333334
2025-05-01,Andir,TPS_ANDI_2,metropolitan,626.28,2025,5,2,2,0,1,581.38,603.42,645.5733333333333
2025-06-01,Andir,TPS_ANDI_2,metropolitan,573.66,2025,6,2,2,0,1,626.28,729.06,593.7733333333333
2025-07-01,Andir,TPS_ANDI_2,metropolitan,588.42,2025,7,3,2,0,1,573.66,581.38,596.12
2025-08-01,Andir,TPS_ANDI_2,metropolitan,477.36,2025,8,3,2,0,1,588.42,626.28,546.4799999999999
2025-09-01,Andir,TPS_ANDI_2,metropolitan,598.06,2025,9,3,2,0,1,477.36,573.66,554.6133333333333
2025-10-01,Andir,TPS_ANDI_2,metropolitan,499.33,2025,10,4,2,0,1,598.06,588.42,524.9166666666666
2025-11-01,Andir,TPS_ANDI_2,metropolitan,603.88,2025,11,4,2,0,1,499.33,477.36,567.09
2025-12-01,Andir,TPS_ANDI_2,metropolitan,648.66,2025,12,4,2,0,1,603.88,598.06,583.9566666666666
2026-01-01,Andir,TPS_ANDI_2,metropolitan,571.25,2026,1,1,2,0,1,648.66,499.33,607.93
2026-02-01,Andir,TPS_ANDI_2,metropolitan,540.6,2026,2,1,2,0,1,571.25,603.88,586.8366666666667
2026-03-01,Andir,TPS_ANDI_2,metropolitan,696.51,2026,3,1,2,0,1,540.6,648.66,602.7866666666666
2026-04-01,Andir,TPS_ANDI_2,metropolitan,571.08,2026,4,2,2,0,1,696.51,571.25,602.73
2026-05-01,Andir,TPS_ANDI_2,metropolitan,678.46,2026,5,2,2,0,1,571.08,540.6,648.6833333333334
2017-04-01,Andir,TPS_ANDI_3,metropolitan,640.02,2017,4,2,2,0,2,624.09,497.12,591.16
2017-05-01,Andir,TPS_ANDI_3,metropolitan,531.62,2017,5,2,2,0,2,640.02,509.37,598.5766666666667
2017-06-01,Andir,TPS_ANDI_3,metropolitan,583.88,2017,6,2,2,0,2,531.62,624.09,585.1733333333333
2017-07-01,Andir,TPS_ANDI_3,metropolitan,556.07,2017,7,3,2,0,2,583.88,640.02,557.1899999999999
2017-08-01,Andir,TPS_ANDI_3,metropolitan,541.87,2017,8,3,2,0,2,556.07,531.62,560.6066666666667
2017-09-01,Andir,TPS_ANDI_3,metropolitan,488.32,2017,9,3,2,0,2,541.87,583.88,528.7533333333333
2017-10-01,Andir,TPS_ANDI_3,metropolitan,519.04,2017,10,4,2,0,2,488.32,556.07,516.41
2017-11-01,Andir,TPS_ANDI_3,metropolitan,478.14,2017,11,4,2,0,2,519.04,541.87,495.1666666666667
2017-12-01,Andir,TPS_ANDI_3,metropolitan,617.66,2017,12,4,2,0,2,478.14,488.32,538.2800000000001
